Wall time,Step,Value
1576303885,408,0.127102852
1576305226,436,0.127510011
1576301107,350,0.127531305
1576307376,480,0.12773864
1576305513,442,0.127806738
1576301491,358,0.127817705
1576307772,488,0.127954185
1576299092,308,0.128054023
1576301778,364,0.128070191
1576304939,430,0.128214493
1576299188,310,0.128288612
1576296988,264,0.128351182
1576300244,332,0.128381014
1576304268,416,0.128383636
1576296605,256,0.12840274
1576296318,250,0.128403425
1576302448,378,0.12842457
1576299860,324,0.128440633
1576298709,300,0.128477961
1576305322,438,0.128484756
1576306585,464,0.128501341
1576301587,360,0.128530994
1576305896,450,0.12853241
1576298804,302,0.128546908
1576303789,406,0.128547043
1576308170,496,0.128601283
1576307079,474,0.128657863
1576299764,322,0.128671736
1576306088,454,0.128683388
1576307673,486,0.128725722
1576303598,402,0.128725871
1576300052,328,0.1287283
1576302927,388,0.128731534
1576300532,338,0.128737569
1576300724,342,0.128752381
1576302257,374,0.128766045
1576307178,476,0.128775179
1576299956,326,0.128777236
1576301970,368,0.128780127
1576303119,392,0.128784835
1576301682,362,0.128791079
1576306485,462,0.128814802
1576298996,306,0.128820553
1576306684,466,0.128837973
1576296127,246,0.128845409
1576299284,312,0.128850713
1576299476,316,0.128881827
1576303502,400,0.128970116
1576298613,298,0.129011154
1576300340,334,0.12901175
1576297657,278,0.129031524
1576307277,478,0.12903218
1576302544,380,0.129042
1576295458,232,0.129112154
1576295936,242,0.129122257
1576298326,292,0.129142344
1576295075,224,0.129171446
1576301395,356,0.129176006
1576305034,432,0.129180655
1576304364,418,0.1291904
1576303406,398,0.129212722
1576305800,448,0.129229173
1576302161,372,0.12923409
1576298040,286,0.129263684
1576301874,366,0.129292727
1576307574,484,0.129306376
1576295266,228,0.12931633
1576295171,226,0.129319325
1576304843,428,0.129330859
1576306783,468,0.129355982
1576295649,236,0.129368201
1576294021,202,0.129418224
1576305992,452,0.129431427
1576306286,458,0.129455686
1576305609,444,0.129461914
1576297179,268,0.129462108
1576302353,376,0.129498482
1576301012,348,0.129520431
1576298422,294,0.129587218
1576297562,276,0.129588008
1576306980,472,0.129612371
1576295745,238,0.12961939
1576294308,208,0.129626617
1576299572,318,0.12963599
1576296414,252,0.129662454
1576303023,390,0.129706219
1576298231,290,0.129719928
1576294979,222,0.129739612
1576300436,336,0.129741475
1576298900,304,0.129777431
1576300820,344,0.129781038
1576304460,420,0.129801646
1576300916,346,0.12981303
1576304172,414,0.129820675
1576297275,270,0.129821464
1576303310,396,0.129821956
1576298136,288,0.129831195
1576294117,204,0.129897907
1576295362,230,0.129932731
1576307476,482,0.129934505
1576307971,492,0.129959434
1576302065,370,0.129976571
1576294404,210,0.129988953
1576296031,244,0.129997849
1576306187,456,0.129997864
1576296892,262,0.130005062
1576295553,234,0.130013987
1576300628,340,0.130020991
1576303693,404,0.130033299
1576302736,384,0.130068555
1576297084,266,0.130210996
1576302831,386,0.13021192
1576296701,258,0.13024199
1576304652,424,0.130261481
1576296510,254,0.130282491
1576304747,426,0.130292743
1576294596,214,0.130320907
1576303980,410,0.130325213
1576301203,352,0.130447075
1576296796,260,0.130447611
1576293542,192,0.130464375
1576300148,330,0.130564883
1576299669,320,0.130605921
1576295840,240,0.130629554
1576293925,200,0.130659625
1576303214,394,0.130723283
1576305130,434,0.130748808
1576297466,274,0.130772144
1576292776,176,0.13078393
1576299380,314,0.130790606
1576293829,198,0.130820796
1576294500,212,0.130894497
1576298517,296,0.130919799
1576306881,470,0.130940855
1576302640,382,0.130954146
1576308272,498,0.131006464
1576304076,412,0.13102062
1576297370,272,0.131036833
1576296223,248,0.131113574
1576301299,354,0.131114662
1576297848,282,0.131199285
1576297753,280,0.13120766
1576292679,174,0.131240755
1576304556,422,0.131510049
1576292967,180,0.131599233
1576308070,494,0.131655589
1576305705,446,0.131689712
1576306386,460,0.131703526
1576293350,188,0.131848276
1576293733,196,0.132025868
1576293255,186,0.132066369
1576291750,162,0.132310316
1576293638,194,0.132359028
1576292242,168,0.132389918
1576291590,160,0.132471055
1576292567,172,0.132574737
1576293063,182,0.132581159
1576291913,164,0.132737622
1576290623,148,0.132757604
1576294213,206,0.132977635
1576291119,154,0.13320674
1576290789,150,0.133296803
1576294692,216,0.133593202
1576293159,184,0.133632362
1576292871,178,0.133633673
1576290956,152,0.133635089
1576293446,190,0.133675173
1576292403,170,0.133688956
1576291274,156,0.133887723
1576292078,166,0.134001657
1576289730,138,0.134151056
1576290072,142,0.134185091
1576291437,158,0.134322122
1576307872,490,0.134673014
1576289574,136,0.134729102
1576297944,284,0.134771571
1576290276,144,0.134823173
1576290456,146,0.134900853
1576305418,440,0.135151565
1576289412,134,0.135232359
1576288767,126,0.135409325
1576288604,124,0.135681808
1576288279,120,0.135832831
1576294788,218,0.135925174
1576288930,128,0.135989398
1576287948,116,0.136188135
1576288439,122,0.136226818
1576289890,140,0.136268243
1576294883,220,0.136389777
1576289252,132,0.136726201
1576287288,108,0.137000278
1576287787,114,0.137217939
1576288115,118,0.137630939
1576286945,104,0.139450371
1576286775,102,0.139456153
1576287454,110,0.139632866
1576287116,106,0.140576258
1576289092,130,0.1440745
1576287621,112,0.145058155
1576286595,100,0.150057569
1576285929,92,0.153873593
1576286071,94,0.1544438
1576285818,90,0.156038329
1576286230,96,0.157834738
1576285723,88,0.160172194
1576285627,86,0.162111863
1576285532,84,0.162113801
1576285432,82,0.162800014
1576285335,80,0.163076282
1576286395,98,0.163261503
1576285240,78,0.164223269
1576285050,74,0.168759122
1576285145,76,0.171259716
1576284859,70,0.172421157
1576284669,66,0.175678328
1576284955,72,0.177572027
1576284478,62,0.179533854
1576284573,64,0.180766121
1576284764,68,0.181389034
1576284383,60,0.18291311
1576284287,58,0.190232307
1576284192,56,0.191021234
1576284098,54,0.192066386
1576284003,52,0.193583071
1576283908,50,0.201674417
1576283813,48,0.203445852
1576283717,46,0.204464838
1576283621,44,0.206037194
1576283526,42,0.217414528
1576283430,40,0.219950229
1576283334,38,0.221604317
1576283239,36,0.226062074
1576283144,34,0.231151044
1576283048,32,0.238331079
1576282953,30,0.249779984
1576282858,28,0.25033626
1576282762,26,0.252722234
1576282667,24,0.260367811
1576282572,22,0.266714066
1576282477,20,0.279962957
1576282381,18,0.285222203
1576282286,16,0.293831199
1576282190,14,0.302581608
1576282095,12,0.32169199
1576282000,10,0.334822595
1576281905,8,0.355523556
1576281809,6,0.377890348
1576281713,4,0.410776496
1576281618,2,0.469066948
1576281522,0,0.568857133
