Wall time,Step,Value
1576303885,408,0.039384291
1576305226,436,0.039426241
1576301491,358,0.039459053
1576307376,480,0.039523259
1576301107,350,0.039557859
1576305513,442,0.039620586
1576307772,488,0.039642069
1576299092,308,0.039644957
1576299860,324,0.039657354
1576301778,364,0.039683819
1576302448,378,0.039701208
1576304268,416,0.039703321
1576304939,430,0.039720565
1576299188,310,0.039782215
1576299764,322,0.03980159
1576301587,360,0.039806243
1576296988,264,0.039853457
1576306585,464,0.039875753
1576298804,302,0.039882641
1576302257,374,0.039895102
1576300244,332,0.039915819
1576305896,450,0.039918538
1576298709,300,0.039921466
1576305034,432,0.03992958
1576306088,454,0.039930824
1576300532,338,0.039941493
1576296605,256,0.039942108
1576301682,362,0.039946862
1576299476,316,0.039951995
1576308170,496,0.039966412
1576302927,388,0.039999899
1576298613,298,0.040001366
1576307079,474,0.040002961
1576303119,392,0.040011838
1576300340,334,0.040012594
1576303789,406,0.040017523
1576296318,250,0.04003251
1576307277,478,0.04003476
1576307178,476,0.040040649
1576306980,472,0.040055677
1576302161,372,0.040061772
1576302544,380,0.040064909
1576303598,402,0.040086087
1576303502,400,0.040094327
1576298996,306,0.040095452
1576298040,286,0.04010028
1576302353,376,0.040102877
1576300724,342,0.040114552
1576305322,438,0.040114898
1576298326,292,0.040115718
1576299284,312,0.04011672
1576301970,368,0.04011739
1576303406,398,0.04012043
1576307673,486,0.040127251
1576306684,466,0.040128656
1576296127,246,0.040131893
1576306485,462,0.040160514
1576297657,278,0.040178135
1576305992,452,0.04018037
1576306783,468,0.040192056
1576304843,428,0.040193766
1576295458,232,0.040196441
1576299956,326,0.040214676
1576298422,294,0.040237099
1576298900,304,0.040267598
1576295266,228,0.040270403
1576306286,458,0.040270533
1576304364,418,0.040279705
1576297179,268,0.040286414
1576300052,328,0.040315092
1576295649,236,0.040317453
1576295171,226,0.040318254
1576301012,348,0.040326275
1576300436,336,0.04033253
1576306187,456,0.040357992
1576305800,448,0.040368449
1576302065,370,0.040381331
1576305609,444,0.040388308
1576295936,242,0.040395226
1576295553,234,0.040396687
1576296414,252,0.040399201
1576300916,346,0.040427025
1576303023,390,0.040433545
1576297562,276,0.040438391
1576298231,290,0.040448226
1576307574,484,0.040454805
1576303310,396,0.040458143
1576295745,238,0.040463887
1576301874,366,0.040464338
1576294117,204,0.040476825
1576295075,224,0.040480357
1576300820,344,0.040494993
1576302831,386,0.040497087
1576298136,288,0.040499464
1576304460,420,0.040502988
1576294979,222,0.040541071
1576301395,356,0.0405421
1576296031,244,0.04054283
1576294021,202,0.040554523
1576307476,482,0.040569793
1576296510,254,0.040569983
1576299572,318,0.040577728
1576295362,230,0.040589035
1576302736,384,0.040599663
1576297275,270,0.040607564
1576308272,498,0.040616076
1576307971,492,0.040626954
